,id|title|starring|writer|editor|
32,36||Isabelle Yasmine Adjani Michel Galabru Jean-Hugues Anglade Christopher Lambert|Marc Perrier||
33,37|Escape from Hell|Anthony Steffen Ajita Wilson Cristina Lau Cintia Lodetti|Sergio Chiusi Roberto Estu00E9vez Anthony La Penna Edoardo Mulargia||
34,38|Claustrophobia|Judith O'Dea Mary Lynn Rajskub Melanie Jayne Lynskey|Mark Tapio Kines||
35,39|The Trial of Madame X|Mara Russell-Tavernan Paul England|Alexandre Bisson||
36,40|Under Two Flags|Rosalind Russell William Nigel Ernle Bruce Ronald Charles Colman Victor McLaglen Lily Claudette Chauchoin Gregory Ratoff Richmond Reed Carradine|||
37,41||Gajala Jr NTR Rajeev Kanakala|Pruthvi Raj||
38,42|Serial (film) Universal Pictures||||
39,43||Luke Bishop Adam Blake (actor) Deni Francis|Kathleen Byrson||
40,44|The Time Traveler's Wife|Rachel McAdams Eric Banadinovich|Jeremy Leven Bruce Joel Rubin||
41,45||Jerzy Fedorowicz Ewa Konarska|Krzysztof Kie?lowski||
42,46||Teresa Stratas Pl?cido Domingo|Alexandre Dumas fils||
43,47||Douglas Rushkoff Emmanuel Goldstein Robin Gross Ricardo Dominguez Jon Johansen|Fate||
44,48|Police Academy 4: Citizens on Patrol|David Graf G.W. Bailey Steven Guttenberg Leslie Easterbrook Michael Winslow Bubba Smith George Jongejans|Gene Quintano||
45,49|8 Heads in a Duffel Bag|Kristy Swanson David Wayne Spade Joseph Frank Pesci|Tom Schulman|David Holden|
46,50|Ghosts of Mars|Pamela Suzette Grier Ice Cube Jason Statham Clea Helen D'Etienne DuVall Natasha Henstridge Joanna Cassidy|John Howard Carpenter||
47,51||Ralph Bates Suzanna Leigh Barbara Jefford|Tudor Gates Sheridan Le Fanu||
48,52||Larry Fine (actor) Harry Moses Horwitz Joe Besser|||
49,53||Gregory Neale Harrison Teri Garr Valerie Mahaffey Charles Grodin Dabney Coleman Carol Creighton Burnett|Mark Ganzel Barry Kemp||
50,54||Eiji Wentz Sada Mayumi Hassei Takano Kanji Tsuda Hideyo Amamoto Da Pump Masaya Kikawada Hiroshi Miyauchi Itsuji Itao Komine Rena Ryoko Kobayashi|Toshiki Inoue||
51,55|Don't Look Now|Julie Frances Christie Donald McNichol Sutherland|Allan Scott (screenwriter) Chris Bryant (writer) Daphne du Maurier||
52,57|His Favourite Pastime|Viola Barry Charles Chaplin Roscoe 'Fatty' Arbuckle|Craig Hutchinson||
53,58|Un Chant d'Amour|Java (actor) Andr? Reybaz|Jean Genet||
54,59||Ruth Elizabeth Davis Robert John Wagner|David Greene Barry Oringer||
55,60|Wild Country|Peter Capaldi Martin Compston|Craig Strachan||
56,61||Sombat Metanee|Rattan Pestonji||
57,62||Leslie Wing Jeffrey Byron Lonnie Hashimoto Phil Fondacaro Randy Popplewell Blackie Lawless Anthony T. Genova III Felix Silla Peter Kent (actor) Charles Richard Moll Randy Piper Paul Pape Chris Holmes Tony Richards Michael Steve Jones|Rosemarie Turko Allen Actor Peter Manoogian Charles Band (filmmaker) John Carl Buechler Dave Allen Ted Nicolaou Jeffrey Byron||
58,63||Peter Reid (triathlete) Lori Bowden Luke Bell Heather Fuhr|||
59,64||Kenji Oyama Toshiaki Konoe Yamaguchi Yoshiko (u5C71u53E3 u6DD1u5B50)|Torashiro Sait? Kihan Nagase Hiroshi Ushida||
60,65|The Squaw Man|Elliott Dexter|Beulah Marie Dix Edwin Milton Royle||
61,66|Caravaggio|Shaun Mark Bean Nigel Terry Katherine Mathilda Swinton|Derek Jarman Suso Cecchi d'Amico Nicholas Ward-Jackson (story)||
62,68|The Blood of a Poet|Pauline Carton Feral Benga Odette Talazacuez Enrique Rivero Jean Desbordes Lee Miller|||
63,69|Two English Girls|Jean-Pierre L?aud Marie Mansart Stacey Tendeter Sylvia Marriott Kika Markham|Franu00E7ois Roland Truffaut Jean Gruault Henri-Pierre Roch?||
64,70||Carol J. Clover Michelle Glick Debbie D Erik Marcisak|||
65,71|Columbia Pictures Serial (film)||||
66,73|Blood Feast|William Kerwin Mal Arnold Lyn Bolton Scott H. Hall Connie Mason|David F. Friedman Allison Louise Downe Herschell Gordon Lewis||
67,74|Sweet Dreams|Edward Allen Harris Jessica Phyllis Lange|Robert Getchell||
68,75||Ashfaq Bhatti Rehan Rooshanie Ejaz Rubya Chaudhry Najma Malik Sultan Billa Haider Raza Kunwar Ali Roshan Salim Meraj Osman Khalid Butt|||
69,76|Country Dance|Michael Craig Peter Seamus Ou2019Toole Susannah Yolande Fletcher|James Kennaway||
70,77|The Seeker|Amelia Warner Christopher Eccleston Ian McShane Frances Conroy Alexander Ludwig (actor)|John Hodge Susan Cooper||
71,78||Bob Dylan Leon Russell Billy Preston Eric Clapton Ravi Shankar George Harrison Ringo Starr|||
72,79|Mysterious Skin|Richard Riehle Michelle Christine Trachtenberg Elisabeth Shue Joseph Leonard Gordon-Levitt Mary Lynn Rajskub Alexander Brady Corbet|Scott Heim Gregg Araki||
73,80|Alien Love Triangle|Kenneth Charles Branagh Heather Graham Courtney Cox Alice Connor|John Hodge (screenwriter)||
74,81||Kathy Ann Najimy Anthony Clark (actor) Gabrielle Monique Union Peter Michael Paige Lisa Edelstein Melanie Jayne Lynskey|Peter Michael Paige||
75,82|Dead Man|John Christopher Depp II Lance Henriksen Gary Farmer|James R. Jarmusch||
76,83||Dave Grohl Charlotte Hatherley Chris Martin Moby James Nesbitt Jonny Buckland Tim Wheeler|Jed Shepherd||
77,84|||Kaneto Shind?||
78,85|Long Wolf and Cub: Baby Cart in Land of Demons Lone Wolf and Cub: Baby Cart in Land of Demons|Tomisaburo Wakayama|Kazuo Koike Goseki Kojima||
79,86|Starman|Karen Jane Allen Jeffrey Leon Bridges|Bruce A. Evans||
80,87|Saved!|Eva Amurri Jena Malone Patrick Raymond Fugit Macaulay Carson Culkin Mary-Louise Parker Martin Donovan Mandy Moore|Michael Urban Brian Dannelly||
81,88||Jacquiline Alice Newlin Walter Davis Pidgeon Charles Murray (actor) Fred Kelsey William Phillips|Ralph Spence||
82,89|The Girl In The Park|Elias Koteas Keri Lynn Russell Catherine Ann Bosworth Alessandro Antine Nivola Susan Alexandra Weaver|David Auburn||
83,90|Sublime|Lawrence Hilton Jacobs Kathleen York Katherine Cunningham-Eves Thomas Cavanaugh|Erik Jendresen||
84,91|The Barbarian and the Geisha|Marion Robert Morrison Shalom Jaffe Eiko Ando|Ellis St. Joseph Charles Grayson||
85,92||Yuri Yakovlev Igor Ilyinsky|Eldar Ryazanov||
86,93|Police Academy 5: Assignment Miami Beach|David Graf G.W. Bailey Leslie Easterbrook Matt McCoy (actor) Michael Winslow Bubba Smith George Jongejans|Neal Israel Stephen Curwick||
87,94|Light Sleeper|William J. Dafoe Dana Delany Susan Abigail Tomalin|Paul Schrader||
88,95|Blade Movies Blade II|Ronald Francis Perlman Thomas Kretschmann Wesley Trent Snipes Leonor Varela Palma Danny John-Jules Luke Goss Kristoffer Kristofferson|Gene Colan David S. Goyer Marvin A. Wolfman||
89,96|Midnight Express Golden Globe Award for Best Motion Picture - Drama|Irene Miracle Robert Creel Davis Randall Rudy Quaid John Vincent Hurt|Billy Hayes (smuggler) William Hoffer William Oliver Stone||
90,97|La venus maldita|Jos? Luis L?pez V?zquez|;(story)||
91,98||Jennifer O'Neill Jacques Michel Andre Sarrazin Margot Kidder|Max Ehrlich||
92,99||Charles Dorety Jimmy Aubrey Bertha Regustus Edward Boulden Walter Kendig Bud Jamison|Tom Buckingham||
93,100|Call Me|Stephen McHattie Sam Freed Patricia Charbonneau Steven Vincent Buscemi Boyd Gaines|Sollace Mitchell Karyn Kay||
94,101|Computer-animated films Ice Age: The Meltdown|Dana Elaine Owens Joshua Michael Peck Raymond Romano John Leguizamo William Emerson Arnett Jay Leno Seann William Scott Denis Leary Debi Derryberry|Jon Vitti||
95,102|Baise-moi|Karine Bach Raffa?la Anderson|Virginie Despentes Coralie Trinh Thi||
96,103||Laila Ajith Prakash Raj Nassar(actor) Jayaram Seetha (actor) Vivek (Actor)|||
97,104||Randhir Kapoor Prithviraj Kapoor Raj Kapoor|Virendra Sinha||
98,105|Rhapsody|John Ericson (Actor) Vittorio Gassman Elizabeth Rosemond Taylor Carl Henry Vogt|Henry Handel Richardson||
99,106|She Married Her Boss|Lily Claudette Chauchoin Melvyn Edouard Hesselberg|Gregory La Cava Sidney Buchman Thyra Samter Winslow||
100,107|Carbon Copy|George Segal Denzel Washington|Stanley Shapiro||
101,108|Shaolin Warrior|Chia-Liang Liu Chia Hui Liu|||
102,109|Yoju Toshi|Stuart Miller Michael Lee Reynolds Gregory Snegoff Yuusaku Yara George Littlewood Mario Casta?eda Ichir? Nagai Daniel Abundis|Hideyuki Kikuchi Kisei Choo||
103,110|Day of the Roses|Stephen Curry Paul Mercurio Rebecca Catherine Gibney|||
104,111|The Bad Lands|Henry DeWitt Carey II|Harvey Gates||
105,112||Anna Kanakis Fred Williamson Venantino Venantini|||
106,113||Coleen Gray Richard Taber Richard Conte|Jo Eisinger||
107,114|||Peter Alton  Peter Spirer||
108,115|Adventureland|Ryan Rodney Reynolds Kristen Jaymes Stewart Jesse Eisenberg|Greg Mottola||
109,117|Camp Nowhere|Wendy Makkena Melody Kay Andrew Keegan Jonathan Stevens Jackson Christopher Allen Lloyd Marnette Patterson|Eliot Wald||
110,119|Pacific Heights|Melanie Richards Griffith Matthew Avery Modine Michael John Douglas|Daniel Pyne||
111,120||Irene Marie Dunn Spangler Arlington Brugh|Victor Heerman Sarah Y. Mason George O'Neil Lloyd C. Douglas||
112,121||Gary Leonard Oldman Armin Mueller-Stahl Jeremy Sisto Winfred Jacqueline Fraser-Bisset Debra Lynn Messing|Suzette Couture Teleplay||
113,122|City Hall|Danny Aiello Bridget Jane Fonda Martin Landau Alfredo James Pacino John Paul Cusack|Bo Goldman Kenneth Lipper Paul Schrader Nicholas Pileggi||
114,123||Jerome Lester Horwitz John Grey Harry Moses Horwitz June Gittelson Larry Fine (actor) Stanley Blystone|John Grey||
115,124|Plein soleil|Maurice Ronet Marie Lafor?t Alain Delon|Paul G?gauff Patricia Highsmith||
116,125|Heavy Traffic|Joseph Kaufmann Beverly Hope Atkinson Frank DeKova Terri Haven Mary Dean Lauria|Ralph Bakshi||
117,126||Billy Eugene Burrows Tyrone Benskin Jayne Heitmeyer Roddy Piper|Mark Sevi||
118,127|Mackenna's Gold|Camilla Sparv Julie Chalene Newmeyer Leo Jacoby Eldred Gregory Peck Michel Demitri Chalhoub|Carl Foreman Heck Allen||
119,128|Master of the Flying Guillotine|Kam Kang Kun Yee Lung Liu Chia Yung Lung Chung-erh Kar Wing Lau Jimmy Wang Yu Philip Kwok|Jimmy Wang Yu||
120,129|L'Homme qui vendit son u00E2me au diable||||
121,131||Swathi Joseph Vijay Chandrasekhar|||
122,132|Operation Condor 2: The Armour of the Gods|u9673u6E2Fu751F (Chan Kong Sang)|Edward Tang John Sheppard u9673u6E2Fu751F (Chan Kong Sang)||
123,134|Vertigo|James Stewart (actor) Barbara Bel Geddes Marilyn Pauline Novak|Samuel Albert Tanenbaum Boileau-Narcejac||
124,135|Serial (film) Universal Pictures||||
125,136|Daai chek liu|Cecilia Cheung u5289u798Fu69AE) Cheung Siu-Fai|Yau Nai-Hoi Au Kin Yee Yip Tin-Shing||
126,137|Road Gang|Donald Woods (actor) Kay Linaker|Abern Finkel Dalton Trumbo Harold Buckley||
127,138||Hema Malini Pran Dharam Pishorimal Anand|K.A Narayan Vijay Anand||
128,139||Salman Khan Bhoomika Chawla|Bala||
129,140||William Davis Garwood Jr.|||
130,141||Rie Yokoyama Meiko Kaji|Toru Shinohara Manga||
131,142|A Midnight Clear|Kevin Dillon Peter Berg|William Wharton Keith Gordon||
132,143|The Bros.|Dennis Scott (basketball) Jimmy Hart Joey Fatone|Jonathan Figg||
133,144||William Frank Jones Shirley Schrift Richard Pryor Diane Varsi Harold Rowe Holbrook Jr.|Robert Thom||
134,145|Serial (film) Republic Pictures|Hal Taliaferro Sammy McKim Duncan Renaldo LeRoy Mason Julia Thayer Raymond Benard Hoot Gibson Lyman Wakefield Perrin|Ronald Davidson Hal G. Evarts Morgan Cox Barry Shipman Winston Miller||
135,146|The Champ|Richard Bartlett Schroder Jonathan Vincent Voight Dorothy Faye Dunaway|Walter Newman (screenwriter) Frances Marion||
136,147|Banlieue 13 District B13|David Belle Dany Malalatiana Terence Petit Tony D'Amario Cyril Raffaelli Bibi Naceri|Bibi Naceri Luc Besson||
137,148||Justin Whalin Jane March Horwood Candice Hillebrand William Gregory Lee|Paul Anthony||
138,149|Bad Boys|Will Smith Tch?ky Karyo Theresa Randle Elizabeth Tu00E9a Pantaleoni Joseph Peter Pantoliano Martin Lawrence|Michael Barrie Jim Mulholland Doug Richardson||
139,150||Malini Fonseka Vijaya Kumarathunge Geetha Kumarasinghe|||
140,152|Accumulator 1|Zden?k Sv?r?k Petr Forman Edita Brychta|Zden?k Sv?r?k Jan Sv?r?k||
141,153|Serial (film) Republic Pictures The Invisible Monster|Stanley Price Lane Bradford George Meeker Aline Towne John Crawford Richard Webb|Ronald Davison||
142,154||Luke Goss Emmanuelle Vaugier|Matthew Leutwyler||
143,155|Paradise Road|Glenn Close Frances Louise McDormand Catherine u00C9lise Blanchett Elizabeth Spriggs Jennifer Ehle Julianna Luisa Margulies Pauline Collins|Betty Jeffrey Martin Meader||
144,156||Robert Peter Williams Charles Grodin Cornelius Crane Chase Goldie Jean Studlendgehawn|Neil Simon||
145,157|Harry and Tonto|Chief Dan George Larry Martin Hageman Melanie Mayron Cliff De Young Arthur Hunnicutt Geraldine Fitzgerald Josh Mostel Edna Rae Gillooly Arthur William Matthew Carney|Josh Greenfeld||
146,158|Rikyu|Rentaro Mikuni Tsutomu Yamazaki|Hiroshi Teshigahara Genpei Akasegawa||
147,159|Brewster's Millions|John Franklin Candy Richard Pryor|Herschel Weingrod Timothy Harris (screen writer) George Barr McCutcheon||
148,160|Vivah|Seema Biswas Alok Nath Anupam Kher Shahid Kapoor Amrita Rao|Sooraj R. Barjatya||
149,161||Eddie Deezen Tim Conway Michele Smith|Tim Conway||
150,162|||Nicholas Mosley||
151,163||Craig Sheffer Jason Scott Lee Khary Payton Diane Neal Stephen Billington|Joel Soisson||
152,164|Tuntematon sotilas|Kosti Klemel? Reino Tolvanen Heikki Savolainen|V?in? Linna Juha Nevalainen||
153,166||Georges Corraface Ana Bel?n Sylvia Munt|Vicente Aranda Ezguerra||
154,167||Kati Outinen|Timo Puustinen||
155,168|Satya|Urmila Matondkar Shefali Shah J.D Chakravarthy Manoj Bajpai|Anurag Kashyap Saurabh Shukla||
156,169|Ruggles of Red Gap|Charles Ruggles Marie Anne Boland Charles Laughton|Harlan Thompson Harry Leon Wilson Humphrey Pearson Walter DeLeon||
157,170|Attack of the Puppet People|John Hoysradt John Agar|George Worthing Yates||
158,171||Beyonc? Knowles Eddi Rue McClanahan Cuba Gooding Jr.|Elizabeth Hunter Saladin K. Patterson||
159,172|Crossing Delancey|Sylvia Miles Peter Riegert Amy Wright Amy Davis Irving Reizl Bozyk Rosemary Harris Jeroen Aart Krabbu00E9|Susan Sandler||
160,173||Peter Barton Linda Denise Blair Vincent Van Patten|Randy Feldman||
161,174|Trial and Error|Jeff Daniels (actor) Elmore Rual Torn Michael Anthony Richards Charlize Theron|Sara Bernstein Gregory Bernstein||
162,175||Wojciech Pokora Jolanta Bohdal Wies?aw Go?as Mieczys?aw Czechowicz Maria Chwalib?g|Stanis?aw Bareja Jacek Fedorowicz||
163,176|Renegades||||
164,177||Wendell Reid Corey Paul Michael Kelly Ruby Catherine Stevens|Ketti Frings||
165,179||Alan Badel|Sidney Carroll||
166,180|Fata Morgana|Marianne Benet Antonia Casas Alberto Dalbu00E9s Antonio Ferrandis|Gonzalo Su?rez Vicente Aranda Ezguerra||
167,181||Kamal Haasan|||
168,182||Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon|Yaky Yosha||
169,183||Mariel Hadley Hemingway Dub Taylor Claude Marion Akins|Larry Jeff McMurtry||
170,184|Eklavya: The Royal Guard|Raima Dev Varma Jimmy Shergill Parikshat Sahni Amitabh Bachchan Vidya Balan Sharmila Tagore Jackie Shroff Saif Ali Khan Boman Irani Sanjay Dutt|Vidhu Vinod Chopra Abhijat Joshi Swanand Kirkire||
171,185||Ashok Kumar Neena Gupta|Apurba Kishore Bir||
172,186|The Left Hand of God|Everett Eugene Grunz Humphrey DeForest Bogart Gene Eliza Tierney Agnes Robertson Moorehead Leo Jacoby|Alfred Hayes||
173,187||Jatin Khanna Mahjabeen Bano Mumtaz (actress)|||
174,188||Anna Raymond Massey Anthony Andrews Aidan Quinn Kathrin Romany Beckinsale Arthur John Gielgud|Bob Kellett Timothy Prager||
175,189||Jean Seberg Richard Henry Sellers Leo McKern|Roger MacDougall Stanley Mann||
176,190|Serial (film) Republic Pictures|Bud Geary Louise Schultz Howard Harold Ravenscroft John Davidson (actor) Dennis Moore James Craven|Barney Sarecky Royal Cole Lynn Perkins Basil Dickey Joseph Poland Albert DeMond||
177,191||Blanche Friderici Alan Mowbray Frederick Kerr Phyllis Daniels Warren William Krech|Lenore J. Coffee Roland Pertwee ?mile Fabre James Ashmore Creelman Honor? de Balzac||
178,192||Shari Shattuck Gedde Watanabe Norman Rambo|Hugh Parks||
179,193||Carole Mathews Susan Cummings (actress) Jil Jarmyn Emily Marie Bertelsen Beverly Lucy Fessenden Krikor Ohanian|David Stern||
180,194||Billy Bob Thornton Angelina Jolie Voight Catherine u00C9lise Blanchett John Paul Cusack|Les Charles Glen Charles Darcy Frey||
181,195|Rondo|Milena Dravi? Relja Ba?i? Stevo ?igon|Zvonimir Berkovi?||
182,196|The Agony and the Ecstasy|Reginald Carey Harrison Alberto Lupo Diane Cilento John Charles Carter Harry Fleetwood Andrews|Irving Stone Philip Dunne||
183,197|Meeting Resistance||Molly Bingham Steve Connors||
184,198||Vittorio Gassman Gloria Hallward Ann Robinson|Ivan Shane Maxwell Shane Ivan Tors||
185,199|I Was a Teenage Frankenstein|Whit Bissel Robert Burton Gary Conway Phyllis Coates|Herman Cohen||
186,200|Cycle Psycho|Joseph Turkel Alfred Alderdice|John Lawrence||
187,201||Issur Danielovitch Antonio Rudolfo Oaxaca Quinn|Irving Stone (novel) Norman Corwin||
188,202||Jerome Lester Horwitz Monte Collins Harry Moses Horwitz Thomas Richard Potts Jane Hamilton Larry Fine (actor) John Lester Johnson|||
189,203|Valiant|Richard Michael Mayall Ewan McGregor Ricky Gervais James Hugh Calum Laurie John Marwood Cleese Timothy James Curry John Vincent Hurt Jim Broadbent|Jordan Katz||
190,204|Rio Bravo|Angeline Brown Ricky Nelson Dean Martin Marion Robert Morrison Walter Andrew Brennan John Russell (actor) Ward Bond|Leigh Brackett Jules Furthman||
191,205|War of the Worlds|Hannah Dakota Fanning Timothy Francis Robbins Miranda Otto Justin Chatwin Thomas Cruise Mapother IV|H. G. Wells David Koepp Josh Friedman||
192,206|Palmetto|Woodrow Tracy Harrelson Gina L. Gershon Elizabeth Shue|James Hadley Chase E. Max Frye||
193,207|The Lonedale Operator|Verner Clarges|Mack Sennett||
194,208||William Davis Garwood Jr.|Daniel Carson Goodman||
195,210||Dyanne Maurer|Marven McGara||
196,212|Gilda Live|Gilda Susan Radner|Mike Nichols Anne Beatts||
197,213||Konidela Siva Sankara Vara Prasad|||
198,214|Andrey Rublyov|Anatoli Solonitsyn Irma Raush Nikolai Grinko Nikolai Burlyayev|Andrei Arsenyevich Tarkovsky Andrei Konchalovsky||
199,215|Bucking Broadway|Henry DeWitt Carey II Molly Malone (actor)|George Hively||
200,217||William Davis Garwood Jr. Florence La Badie|||
201,218||Mukul Dev Yusuf Khan Bhanurekha Ganesan Mamta Kulkarni|||
202,219|The Ultimate Gift|Donna Cherry Drew Fuller Ali Hillis Abigail Kathleen Breslin Brett Rice Brian Manion Dennehy James Scott Bumgarner|Jim Stovall Cheryl McKay||
203,220||Gilbert Gottfried Jodi Benson Russi Taylor Kevin Schon John Marwood Cleese Tress MacNeille Wayne Allwine Bill Farmer Samuel E. Wright Corey Burton Ernie Sabella Tony Anselmo Patricia Ann Carroll Kath Soucie|Kevin Campbell||
204,221||Dale Hopkins Kevin Hearst Keith Ian Carradine Kelly Bohanon|Thomas Matthiesen||
205,222|Alvin Purple Rides Again|Alan Finney (Actor) Graeme Blundell|Alan Finney (actor) Tim Burstall Alan Hopgood||
206,223||Malcolm Smith (motorcyclist) Mert Lawwill|||
207,224||Cecilia Cheung Cheng Sau Man|Yau Nai-Hoi Wai Ka-Fai||
208,225||Diane Keen Christopher Biggins David Warbeck|Tudor Gates Michael Armstrong||
209,226|Mikau00EBl|Benjamin Christensen Walter Slezak Robert Garrison Max Auzinger Nora Gregor|Carl Theodor Dreyer Thea von Harbou||
210,227||Ricky Der Tsu Kobayashi Jacques O'Mahoney Woody Strode|Robert Day (film director) Edgar Rice Burroughs Berne Giler||
211,228|Fortress|Rachel Ward Vernon Wells (actor)|Gabrielle Lord Everett De Roche||
212,229|Black Hole|Kristy Swanson Judd Asher Nelson|David Goodin||
213,230|Bad Dreams|Harris Yulin Bruce Paul Abbott Sy Richardson Richard Lynch Elizabeth Guttman Dean Cameron Jennifer Rubin|P.J. Pettiette Steven E. DeSouza Michael Dick Yuri Zeltser Andrew Fleming||
214,231||Donna Spence Willie Nelson Kristoffer Kristofferson Guy Clark Joe Ely|||
215,232|Zaza|Herbert Brough Falcon Marshall Genevieve Tobin Lily Claudette Chauchoin Helen Westley Walter Catlett Irving Lahrheim Constance Collier|Zoe Akins Pierre Berton Charles Simon||
216,233||Andrei Arsenyevich Tarkovsky Tonino Guerra|Alexander Sokurov||
217,234|The Red Badge of Courage|Douglas Dick Andrew Vabre Devine Robert Easton (actor) Tim Durant Audie Murphy|John Marcellus Huston Stephen Crane||
218,235|Serial (film) Columbia Pictures|Forrest Taylor Tom Neal Hugh Prosser Tristram Coffin Judy Clark Ralph Hodges|Joseph F. Poland Ray Bailey George H. Plympton Lewis Clay||
219,236|The Good Night|Penu00E9lope Cruz Su00E1nchez Gwyneth Kate Paltrow Martin Freeman Daniel Michael DeVito Jr.|Jake Paltrow||
220,237|Nothing to Lose|Arisara Wongchalee Pierre Png|Danny Pang||
221,238||Tangi Miller Warwick Davis|Mark Jones (screenwriter)||
222,239|Supergator|Brad Johnson Kelly Ann McGillis|Brian Clyde||
223,240|One Man's Journey|Mary Jeanette Robinson Dorothy Jordan (actress) Lionel Herbert Blythe|Katharine Havilland-Taylor Lester Cohen||
224,241|Kaliyugaya|Punya Heendeniya Henry Jayasena Trelicia Gunawardena Wickrema Bogoda|A.J. Gunawardena||
225,242||Yamila Greco  Eduardo Poli  Andrea Alfonso  Rodrigo Bianco  Silvia Paz  Salvador Haidar|Mariano Peralta||
226,243|||Michael Sauter David Keller||
227,244||H?meyra ?erif Sezer ?etin Tekindor Ege Tanman Fikret Ku?kan|?a?an Irmak||
228,245|Vampire Circus|Sarah Ward John Moulder-Brown Lynne Frederick Anthony Higgins (actor) Robin Sachs Adrienne Riccoboni|Judson Kinberg||
229,246|The Coastline||||
230,247||Guy Bridges Kibbee Reginald Gardiner Allyn Joslyn Gladys Smith Dolores Moran Benjamin Kubelsky|||
231,248||Mumtaz (actress) Jeetendra|||
232,249||William Davis Garwood Jr. Charlotte Burton|||
233,250||Wallace Fitzgerald Beery|||
234,251|Gwendoline|Brent Huff Isabelle Breitman Jean Rougerie Bernadette Lafont Tawny Kitaen|Just Jaeckin John Willie||
235,252||Hobart Bosworth Betty Harte|Robert Louis Stevenson George F. Fish Luella Forepaugh||
236,253|A Home at the End of the World|Colin James Farrell Mary Elizabeth Spacek Robin Gayle Wright Dallas Roberts|Michael Cunningham||
237,254||Ethel Agnes Zimmermann Donald David Dixon Ronald Ou2019Connor Norma Jeane Mortenson|Lamar Trotti (story) Phoebe Ephron Henry Ephron||
238,255||Othon Bastos  Mauru00EDcio do Valle|||
239,256||Chaaru Haasan R. Nagesh Nalini Murthy|Poornachandra Tejaswi||
240,257|The Mirror||||
